			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2
	eAe			 1 	 1 		
	eAE			 2 	 1 		 1 
	Eae		 1 	 1 			 1 
	EaE		 1 	 2 			 2 
	EAe		 1 	 2 	 1 		 1 
	EAE		 1 	 3 	 1 		 2 
eai	eai	 1 					
	eaI			 1 		 1 	 1 
	eAi			 1 	 1 		
	eAI			 2 	 1 	 1 	 1 
	Eai		 1 	 1 			 1 
	EaI		 1 	 2 		 1 	 2 
	EAi		 1 	 2 	 1 		 1 
	EAI		 1 	 3 	 1 	 1 	 2 
eao	eao	 1 					
	eaO			 1 	 1 		
	eAO			 2 	 2 		
	Eao		 1 	 1 			 1 
	EaO		 1 	 2 	 1 		 1 
	EAO		 1 	 3 	 2 		 1 
eaa	eaa	 1 					
	eaA			 1 	 1 		
	eAA			 2 	 2 		
	Eaa		 1 	 1 			 1 
	EaA		 1 	 2 	 1 		 1 
	EAA		 1 	 3 	 2 		 1 
eau	eau	 1 					
	eay			 1 	 1 		
	eAy			 2 	 2 		
	Eau		 1 	 1 			 1 
	Eay		 1 	 2 	 1 		 1 
	EAy		 1 	 3 	 2 		 1 
eue	eue	 1 					
	euE			 1 			 1 
	eye			 1 	 1 		
	eyE			 2 	 1 		 1 
	Eue		 1 	 1 			 1 
	EuE		 1 	 2 			 2 
	Eye		 1 	 2 	 1 		 1 
	EyE		 1 	 3 	 1 		 2 
eui	eui	 1 					
	euI			 1 		 1 	 1 
	eyi			 1 	 1 		
	eyI			 2 	 1 	 1 	 1 
	Eui		 1 	 1 			 1 
	EuI		 1 	 2 		 1 	 2 
	Eyi		 1 	 2 	 1 		 1 
	EyI		 1 	 3 	 1 	 1 	 2 
euo	euo	 1 					
	euO			 1 	 1 		
	eyO			 2 	 2 		
	Euo		 1 	 1 			 1 
	EuO		 1 	 2 	 1 		 1 
	EyO		 1 	 3 	 2 		 1 
eua	eua	 1 					
	euA			 1 	 1 		
	eyA			 2 	 2 		
	Eua		 1 	 1 			 1 
	EuA		 1 	 2 	 1 		 1 
	EyA		 1 	 3 	 2 		 1 
euu	euu	 1 					
	euy			 1 	 1 		
	eyy			 2 	 2 		
	Euu		 1 	 1 			 1 
	Euy		 1 	 2 	 1 		 1 
	Eyy		 1 	 3 	 2 		 1 
iee	iee	 1 					
	ieE			 1 			 1 
	iEE			 2 			 2 
	Iee		 1 	 1 		 1 	 1 
	IeE		 1 	 2 		 1 	 2 
	IEE		 1 	 3 		 1 	 3 
iei	iei	 1 					
	ieI			 1 		 1 	 1 
	iEi			 1 			 1 
	iEI			 2 		 1 	 2 
	Iei		 1 	 1 		 1 	 1 
	IeI		 1 	 2 		 2 	 2 
	IEi		 1 	 2 		 1 	 2 
	IEI		 1 	 3 		 2 	 3 
ieo	ieo	 1 					
	ieO			 1 	 1 		
	iEo			 1 			 1 
	iEO			 2 	 1 		 1 
	Ieo		 1 	 1 		 1 	 1 
	IeO		 1 	 2 	 1 	 1 	 1 
	IEo		 1 	 2 		 1 	 2 
	IEO		 1 	 3 	 1 	 1 	 2 
iea	iea	 1 					
	ieA			 1 	 1 		
	iEa			 1 			 1 
	iEA			 2 	 1 		 1 
	Iea		 1 	 1 		 1 	 1 
	IeA		 1 	 2 	 1 	 1 	 1 
	IEa		 1 	 2 		 1 	 2 
	IEA		 1 	 3 	 1 	 1 	 2 
ieu	ieu	 1 					
	iey			 1 	 1 		
	iEu			 1 			 1 
	iEy			 2 	 1 		 1 
	Ieu		 1 	 1 		 1 	 1 
	Iey		 1 	 2 	 1 	 1 	 1 
	IEu		 1 	 2 		 1 	 2 
	IEy		 1 	 3 	 1 	 1 	 2 
iie	iie	 1 					
	iiE			 1 			 1 
	iIe			 1 		 1 	 1 
	iIE			 2 		 1 	 2 
	Iie		 1 	 1 		 1 	 1 
	IiE		 1 	 2 		 1 	 2 
	IIe		 1 	 2 		 2 	 2 
	IIE		 1 	 3 		 2 	 3 
iii	iii	 1 					
	iiI			 1 		 1 	 1 
	iII			 2 		 2 	 2 
	Iii		 1 	 1 		 1 	 1 
	IiI		 1 	 2 		 2 	 2 
	III		 1 	 3 		 3 	 3 
iio	iio	 1 					
	iiO			 1 	 1 		
	iIo			 1 		 1 	 1 
	iIO			 2 	 1 	 1 	 1 
	Iio		 1 	 1 		 1 	 1 
	IiO		 1 	 2 	 1 	 1 	 1 
	IIo		 1 	 2 		 2 	 2 
	IIO		 1 	 3 	 1 	 2 	 2 
iia	iia	 1 					
	iiA			 1 	 1 		
	iIa			 1 		 1 	 1 
	iIA			 2 	 1 	 1 	 1 
	Iia		 1 	 1 		 1 	 1 
	IiA		 1 	 2 	 1 	 1 	 1 
	IIa		 1 	 2 		 2 	 2 
	IIA		 1 	 3 	 1 	 2 	 2 
iiu	iiu	 1 					
	iiy			 1 	 1 		
	iIu			 1 		 1 	 1 
	iIy			 2 	 1 	 1 	 1 
	Iiu		 1 	 1 		 1 	 1 
	Iiy		 1 	 2 	 1 	 1 	 1 
	IIu		 1 	 2 		 2 	 2 
	IIy		 1 	 3 	 1 	 2 	 2 
ioe	ioe	 1 					
	ioE			 1 			 1 
	iOe			 1 	 1 		
	iOE			 2 	 1 		 1 
	Ioe		 1 	 1 		 1 	 1 
	IoE		 1 	 2 		 1 	 2 
	IOe		 1 	 2 	 1 	 1 	 1 
	IOE		 1 	 3 	 1 	 1 	 2 
ioi	ioi	 1 					
	ioI			 1 		 1 	 1 
	iOi			 1 	 1 		
	iOI			 2 	 1 	 1 	 1 
	Ioi		 1 	 1 		 1 	 1 
	IoI		 1 	 2 		 2 	 2 
	IOi		 1 	 2 	 1 	 1 	 1 
	IOI		 1 	 3 	 1 	 2 	 2 
ioo	ioo	 1 					
	ioO			 1 	 1 		
	iOO			 2 	 2 		
	Ioo		 1 	 1 		 1 	 1 
	IoO		 1 	 2 	 1 	 1 	 1 
	IOO		 1 	 3 	 2 	 1 	 1 
ioa	ioa	 1 					
	ioA			 1 	 1 		
	iOA			 2 	 2 		
	Ioa		 1 	 1 		 1 	 1 
	IoA		 1 	 2 	 1 	 1 	 1 
	IOA		 1 	 3 	 2 	 1 	 1 
iou	iou	 1 					
	ioy			 1 	 1 		
	iOy			 2 	 2 		
	Iou		 1 	 1 		 1 	 1 
	Ioy		 1 	 2 	 1 	 1 	 1 
	IOy		 1 	 3 	 2 	 1 	 1 
iae	iae	 1 					
	iaE			 1 			 1 
	iAe			 1 	 1 		
	iAE			 2 	 1 		 1 
	Iae		 1 	 1 		 1 	 1 
	IaE		 1 	 2 		 1 	 2 
	IAe		 1 	 2 	 1 	 1 	 1 
	IAE		 1 	 3 	 1 	 1 	 2 
iai	iai	 1 					
	iaI			 1 		 1 	 1 
	iAi			 1 	 1 		
	iAI			 2 	 1 	 1 	 1 
	Iai		 1 	 1 		 1 	 1 
	IaI		 1 	 2 		 2 	 2 
	IAi		 1 	 2 	 1 	 1 	 1 
	IAI		 1 	 3 	 1 	 2 	 2 
iao	iao	 1 					
	iaO			 1 	 1 		
	iAO			 2 	 2 		
	Iao		 1 	 1 		 1 	 1 
	IaO		 1 	 2 	 1 	 1 	 1 
	IAO		 1 	 3 	 2 	 1 	 1 
iaa	iaa	 1 					
	iaA			 1 	 1 		
	iAA			 2 	 2 		
	Iaa		 1 	 1 		 1 	 1 
	IaA		 1 	 2 	 1 	 1 	 1 
	IAA		 1 	 3 	 2 	 1 	 1 
iau	iau	 1 					
	iay			 1 	 1 		
	iAy			 2 	 2 		
	Iau		 1 	 1 		 1 	 1 
	Iay		 1 	 2 	 1 	 1 	 1 
	IAy		 1 	 3 	 2 	 1 	 1 
iue	iue	 1 					
	iuE			 1 			 1 
	iye			 1 	 1 		
	iyE			 2 	 1 		 1 
	Iue		 1 	 1 		 1 	 1 
	IuE		 1 	 2 		 1 	 2 
	Iye		 1 	 2 	 1 	 1 	 1 
	IyE		 1 	 3 	 1 	 1 	 2 
iui	iui	 1 					
	iuI			 1 		 1 	 1 
	iyi			 1 	 1 		
	iyI			 2 	 1 	 1 	 1 
	Iui		 1 	 1 		 1 	 1 
	IuI		 1 	 2 		 2 	 2 
	Iyi		 1 	 2 	 1 	 1 	 1 
	IyI		 1 	 3 	 1 	 2 	 2 
iuo	iuo	 1 					
	iuO			 1 	 1 		
	iyO			 2 	 2 		
	Iuo		 1 	 1 		 1 	 1 
	IuO		 1 	 2 	 1 	 1 	 1 
	IyO		 1 	 3 	 2 	 1 	 1 
iua	iua	 1 					
	iuA			 1 	 1 		
	iyA			 2 	 2 		
	Iua		 1 	 1 		 1 	 1 
	IuA		 1 	 2 	 1 	 1 	 1 
	IyA		 1 	 3 	 2 	 1 	 1 
iuu	iuu	 1 					
	iuy			 1 	 1 		
	iyy			 2 	 2 		
	Iuu		 1 	 1 		 1 	 1 
	Iuy		 1 	 2 	 1 	 1 	 1 
	Iyy		 1 	 3 	 2 	 1 	 1 
Eee	Eee	 1 					 1 
	EeE			 1 			 2 
	EEE			 2 			 3 
	eee		 1 	 1 			
	eeE		 1 	 2 			 1 
	eEE		 1 	 3 			 2 
Eei	Eei	 1 					 1 
	EeI			 1 		 1 	 2 
	EEi			 1 			 2 
	EEI			 2 		 1 	 3 
	eei		 1 	 1 			
	eeI		 1 	 2 		 1 	 1 
	eEi		 1 	 2 			 1 
	eEI		 1 	 3 		 1 	 2 
Eeo	Eeo	 1 					 1 
	EeO			 1 	 1 		 1 
	EEo			 1 			 2 
	EEO			 2 	 1 		 2 
	eeo		 1 	 1 			
	eeO		 1 	 2 	 1 		
	eEo		 1 	 2 			 1 
	eEO		 1 	 3 	 1 		 1 
Eea	Eea	 1 					 1 
	EeA			 1 	 1 		 1 
	EEa			 1 			 2 
	EEA			 2 	 1 		 2 
	eea		 1 	 1 			
	eeA		 1 	 2 	 1 		
	eEa		 1 	 2 			 1 
	eEA		 1 	 3 	 1 		 1 
Eeu	Eeu	 1 					 1 
	Eey			 1 	 1 		 1 
	EEu			 1 			 2 
	EEy			 2 	 1 		 2 
	eeu		 1 	 1 			
	eey		 1 	 2 	 1 		
	eEu		 1 	 2 			 1 
	eEy		 1 	 3 	 1 		 1 
Eie	Eie	 1 					 1 
	EiE			 1 			 2 
	EIe			 1 		 1 	 2 
	EIE			 2 		 1 	 3 
	eie		 1 	 1 			
	eiE		 1 	 2 			 1 
	eIe		 1 	 2 		 1 	 1 
	eIE		 1 	 3 		 1 	 2 
Eii	Eii	 1 					 1 
	EiI			 1 		 1 	 2 
	EII			 2 		 2 	 3 
	eii		 1 	 1 			
	eiI		 1 	 2 		 1 	 1 
	eII		 1 	 3 		 2 	 2 
Eio	Eio	 1 					 1 
	EiO			 1 	 1 		 1 
	EIo			 1 		 1 	 2 
	EIO			 2 	 1 	 1 	 2 
	eio		 1 	 1 			
	eiO		 1 	 2 	 1 		
	eIo		 1 	 2 		 1 	 1 
	eIO		 1 	 3 	 1 	 1 	 1 
Eia	Eia	 1 					 1 
	EiA			 1 	 1 		 1 
	EIa			 1 		 1 	 2 
	EIA			 2 	 1 	 1 	 2 
	eia		 1 	 1 			
	eiA		 1 	 2 	 1 		
	eIa		 1 	 2 		 1 	 1 
	eIA		 1 	 3 	 1 	 1 	 1 
Eiu	Eiu	 1 					 1 
	Eiy			 1 	 1 		 1 
	EIu			 1 		 1 	 2 
	EIy			 2 	 1 	 1 	 2 
	eiu		 1 	 1 			
	eiy		 1 	 2 	 1 		
	eIu		 1 	 2 		 1 	 1 
	eIy		 1 	 3 	 1 	 1 	 1 
Eoe	Eoe	 1 					 1 
	EoE			 1 			 2 
	EOe			 1 	 1 		 1 
	EOE			 2 	 1 		 2 
	eoe		 1 	 1 			
	eoE		 1 	 2 			 1 
	eOe		 1 	 2 	 1 		
	eOE		 1 	 3 	 1 		 1 
Eoi	Eoi	 1 					 1 
	EoI			 1 		 1 	 2 
	EOi			 1 	 1 		 1 
	EOI			 2 	 1 	 1 	 2 
	eoi		 1 	 1 			
	eoI		 1 	 2 		 1 	 1 
	eOi		 1 	 2 	 1 		
	eOI		 1 	 3 	 1 	 1 	 1 
Eoo	Eoo	 1 					 1 
	EoO			 1 	 1 		 1 
	EOO			 2 	 2 		 1 
	eoo		 1 	 1 			
	eoO		 1 	 2 	 1 		
	eOO		 1 	 3 	 2 		
Eoa	Eoa	 1 					 1 
	EoA			 1 	 1 		 1 
	EOA			 2 	 2 		 1 
	eoa		 1 	 1 			
	eoA		 1 	 2 	 1 		
	eOA		 1 	 3 	 2 		
Eou	Eou	 1 					 1 
	Eoy			 1 	 1 		 1 
	EOy			 2 	 2 		 1 
	eou		 1 	 1 			
	eoy		 1 	 2 	 1 		
	eOy		 1 	 3 	 2 		
Eae	Eae	 1 					 1 
	EaE			 1 			 2 
	EAe			 1 	 1 		 1 
	EAE			 2 	 1 		 2 
	eae		 1 	 1 			
	eaE		 1 	 2 			 1 
	eAe		 1 	 2 	 1 		
	eAE		 1 	 3 	 1 		 1 
Eai	Eai	 1 					 1 
	EaI			 1 		 1 	 2 
	EAi			 1 	 1 		 1 
	EAI			 2 	 1 	 1 	 2 
	eai		 1 	 1 			
	eaI		 1 	 2 		 1 	 1 
	eAi		 1 	 2 	 1 		
	eAI		 1 	 3 	 1 	 1 	 1 
Eao	Eao	 1 					 1 
	EaO			 1 	 1 		 1 
	EAO			 2 	 2 		 1 
	eao		 1 	 1 			
	eaO		 1 	 2 	 1 		
	eAO		 1 	 3 	 2 		
Eaa	Eaa	 1 					 1 
	EaA			 1 	 1 		 1 
	EAA			 2 	 2 		 1 
	eaa		 1 	 1 			
	eaA		 1 	 2 	 1 		
	eAA		 1 	 3 	 2 		
Eau	Eau	 1 					 1 
	Eay			 1 	 1 		 1 
	EAy			 2 	 2 		 1 
	eau		 1 	 1 			
	eay		 1 	 2 	 1 		
	eAy		 1 	 3 	 2 		
Eue	Eue	 1 					 1 
	EuE			 1 			 2 
	Eye			 1 	 1 		 1 
	EyE			 2 	 1 		 2 
	eue		 1 	 1 			
	euE		 1 	 2 			 1 
	eye		 1 	 2 	 1 		
	eyE		 1 	 3 	 1 		 1 
Eui	Eui	 1 					 1 
	EuI			 1 		 1 	 2 
	Eyi			 1 	 1 		 1 
	EyI			 2 	 1 	 1 	 2 
	eui		 1 	 1 			
	euI		 1 	 2 		 1 	 1 
	eyi		 1 	 2 	 1 		
	eyI		 1 	 3 	 1 	 1 	 1 
Euo	Euo	 1 					 1 
	EuO			 1 	 1 		 1 
	EyO			 2 	 2 		 1 
	euo		 1 	 1 			
	euO		 1 	 2 	 1 		
	eyO		 1 	 3 	 2 		
Eua	Eua	 1 					 1 
	EuA			 1 	 1 		 1 
	EyA			 2 	 2 		 1 
	eua		 1 	 1 			
	euA		 1 	 2 	 1 		
	eyA		 1 	 3 	 2 		
Euu	Euu	 1 					 1 
	Euy			 1 	 1 		 1 
	Eyy			 2 	 2 		 1 
	euu		 1 	 1 			
	euy		 1 	 2 	 1 		
	eyy		 1 	 3 	 2 		
oee	oee	 1 					
	oeE			 1 			 1 
	oEE			 2 			 2 
	Oee		 1 	 1 	 1 		
	OeE		 1 	 2 	 1 		 1 
	OEE		 1 	 3 	 1 		 2 
oei	oei	 1 					
	oeI			 1 		 1 	 1 
	oEi			 1 			 1 
	oEI			 2 		 1 	 2 
	Oei		 1 	 1 	 1 		
	OeI		 1 	 2 	 1 	 1 	 1 
	OEi		 1 	 2 	 1 		 1 
	OEI		 1 	 3 	 1 	 1 	 2 
oeo	oeo	 1 					
	oeO			 1 	 1 		
	oEo			 1 			 1 
	oEO			 2 	 1 		 1 
	Oeo		 1 	 1 	 1 		
	OeO		 1 	 2 	 2 		
	OEo		 1 	 2 	 1 		 1 
	OEO		 1 	 3 	 2 		 1 
oea	oea	 1 					
	oeA			 1 	 1 		
	oEa			 1 			 1 
	oEA			 2 	 1 		 1 
	Oea		 1 	 1 	 1 		
	OeA		 1 	 2 	 2 		
	OEa		 1 	 2 	 1 		 1 
	OEA		 1 	 3 	 2 		 1 
oeu	oeu	 1 					
	oey			 1 	 1 		
	oEu			 1 			 1 
	oEy			 2 	 1 		 1 
	Oeu		 1 	 1 	 1 		
	Oey		 1 	 2 	 2 		
	OEu		 1 	 2 	 1 		 1 
	OEy		 1 	 3 	 2 		 1 
oie	oie	 1 					
	oiE			 1 			 1 
	oIe			 1 		 1 	 1 
	oIE			 2 		 1 	 2 
	Oie		 1 	 1 	 1 		
	OiE		 1 	 2 	 1 		 1 
	OIe		 1 	 2 	 1 	 1 	 1 
	OIE		 1 	 3 	 1 	 1 	 2 
oii	oii	 1 					
	oiI			 1 		 1 	 1 
	oII			 2 		 2 	 2 
	Oii		 1 	 1 	 1 		
	OiI		 1 	 2 	 1 	 1 	 1 
	OII		 1 	 3 	 1 	 2 	 2 
oio	oio	 1 					
	oiO			 1 	 1 		
	oIo			 1 		 1 	 1 
	oIO			 2 	 1 	 1 	 1 
	Oio		 1 	 1 	 1 		
	OiO		 1 	 2 	 2 		
	OIo		 1 	 2 	 1 	 1 	 1 
	OIO		 1 	 3 	 2 	 1 	 1 
oia	oia	 1 					
	oiA			 1 	 1 		
	oIa			 1 		 1 	 1 
	oIA			 2 	 1 	 1 	 1 
	Oia		 1 	 1 	 1 		
	OiA		 1 	 2 	 2 		
	OIa		 1 	 2 	 1 	 1 	 1 
	OIA		 1 	 3 	 2 	 1 	 1 
oiu	oiu	 1 					
	oiy			 1 	 1 		
	oIu			 1 		 1 	 1 
	oIy			 2 	 1 	 1 	 1 
	Oiu		 1 	 1 	 1 		
	Oiy		 1 	 2 	 2 		
	OIu		 1 	 2 	 1 	 1 	 1 
	OIy		 1 	 3 	 2 	 1 	 1 
ooe	ooe	 1 					
	ooE			 1 			 1 
	oOe			 1 	 1 		
	oOE			 2 	 1 		 1 
	Ooe		 1 	 1 	 1 		
	OoE		 1 	 2 	 1 		 1 
	OOe		 1 	 2 	 2 		
	OOE		 1 	 3 	 2 		 1 
ooi	ooi	 1 					
	ooI			 1 		 1 	 1 
	oOi			 1 	 1 		
	oOI			 2 	 1 	 1 	 1 
	Ooi		 1 	 1 	 1 		
	OoI		 1 	 2 	 1 	 1 	 1 
	OOi		 1 	 2 	 2 		
	OOI		 1 	 3 	 2 	 1 	 1 
ooo	ooo	 1 					
	ooO			 1 	 1 		
	oOO			 2 	 2 		
	Ooo		 1 	 1 	 1 		
	OoO		 1 	 2 	 2 		
	OOO		 1 	 3 	 3 		
ooa	ooa	 1 					
	ooA			 1 	 1 		
	oOA			 2 	 2 		
	Ooa		 1 	 1 	 1 		
	OoA		 1 	 2 	 2 		
	OOA		 1 	 3 	 3 		
oou	oou	 1 					
	ooy			 1 	 1 		
	oOy			 2 	 2 		
	Oou		 1 	 1 	 1 		
	Ooy		 1 	 2 	 2 		
	OOy		 1 	 3 	 3 		
oae	oae	 1 					
	oaE			 1 			 1 
	oAe			 1 	 1 		
	oAE			 2 	 1 		 1 
	Oae		 1 	 1 	 1 		
	OaE		 1 	 2 	 1 		 1 
	OAe		 1 	 2 	 2 		
	OAE		 1 	 3 	 2 		 1 
oai	oai	 1 					
	oaI			 1 		 1 	 1 
	oAi			 1 	 1 		
	oAI			 2 	 1 	 1 	 1 
	Oai		 1 	 1 	 1 		
	OaI		 1 	 2 	 1 	 1 	 1 
	OAi		 1 	 2 	 2 		
	OAI		 1 	 3 	 2 	 1 	 1 
oao	oao	 1 					
	oaO			 1 	 1 		
	oAO			 2 	 2 		
	Oao		 1 	 1 	 1 		
	OaO		 1 	 2 	 2 		
	OAO		 1 	 3 	 3 		
oaa	oaa	 1 					
	oaA			 1 	 1 		
	oAA			 2 	 2 		
	Oaa		 1 	 1 	 1 		
	OaA		 1 	 2 	 2 		
	OAA		 1 	 3 	 3 		
oau	oau	 1 					
	oay			 1 	 1 		
	oAy			 2 	 2 		
	Oau		 1 	 1 	 1 		
	Oay		 1 	 2 	 2 		
	OAy		 1 	 3 	 3 		
oue	oue	 1 					
	ouE			 1 			 1 
	oye			 1 	 1 		
	oyE			 2 	 1 		 1 
	Oue		 1 	 1 	 1 		
	OuE		 1 	 2 	 1 		 1 
	Oye		 1 	 2 	 2 		
	OyE		 1 	 3 	 2 		 1 
oui	oui	 1 					
	ouI			 1 		 1 	 1 
	oyi			 1 	 1 		
	oyI			 2 	 1 	 1 	 1 
	Oui		 1 	 1 	 1 		
	OuI		 1 	 2 	 1 	 1 	 1 
	Oyi		 1 	 2 	 2 		
	OyI		 1 	 3 	 2 	 1 	 1 
ouo	ouo	 1 					
	ouO			 1 	 1 		
	oyO			 2 	 2 		
	Ouo		 1 	 1 	 1 		
	OuO		 1 	 2 	 2 		
	OyO		 1 	 3 	 3 		
oua	oua	 1 					
	ouA			 1 	 1 		
	oyA			 2 	 2 		
	Oua		 1 	 1 	 1 		
	OuA		 1 	 2 	 2 		
	OyA		 1 	 3 	 3 		
ouu	ouu	 1 					
	ouy			 1 	 1 		
	oyy			 2 	 2 		
	Ouu		 1 	 1 	 1 		
	Ouy		 1 	 2 	 2 		
	Oyy		 1 	 3 	 3 		
aee	aee	 1 					
	aeE			 1 			 1 
	aEE			 2 			 2 
	Aee		 1 	 1 	 1 		
	AeE		 1 	 2 	 1 		 1 
	AEE		 1 	 3 	 1 		 2 
aei	aei	 1 					
	aeI			 1 		 1 	 1 
	aEi			 1 			 1 
	aEI			 2 		 1 	 2 
	Aei		 1 	 1 	 1 		
	AeI		 1 	 2 	 1 	 1 	 1 
	AEi		 1 	 2 	 1 		 1 
	AEI		 1 	 3 	 1 	 1 	 2 
aeo	aeo	 1 					
	aeO			 1 	 1 		
	aEo			 1 			 1 
	aEO			 2 	 1 		 1 
	Aeo		 1 	 1 	 1 		
	AeO		 1 	 2 	 2 		
	AEo		 1 	 2 	 1 		 1 
	AEO		 1 	 3 	 2 		 1 
aea	aea	 1 					
	aeA			 1 	 1 		
	aEa			 1 			 1 
	aEA			 2 	 1 		 1 
	Aea		 1 	 1 	 1 		
	AeA		 1 	 2 	 2 		
	AEa		 1 	 2 	 1 		 1 
	AEA		 1 	 3 	 2 		 1 
aeu	aeu	 1 					
	aey			 1 	 1 		
	aEu			 1 			 1 
	aEy			 2 	 1 		 1 
	Aeu		 1 	 1 	 1 		
	Aey		 1 	 2 	 2 		
	AEu		 1 	 2 	 1 		 1 
	AEy		 1 	 3 	 2 		 1 
aie	aie	 1 					
	aiE			 1 			 1 
	aIe			 1 		 1 	 1 
	aIE			 2 		 1 	 2 
	Aie		 1 	 1 	 1 		
	AiE		 1 	 2 	 1 		 1 
	AIe		 1 	 2 	 1 	 1 	 1 
	AIE		 1 	 3 	 1 	 1 	 2 
aii	aii	 1 					
	aiI			 1 		 1 	 1 
	aII			 2 		 2 	 2 
	Aii		 1 	 1 	 1 		
	AiI		 1 	 2 	 1 	 1 	 1 
	AII		 1 	 3 	 1 	 2 	 2 
aio	aio	 1 					
	aiO			 1 	 1 		
	aIo			 1 		 1 	 1 
	aIO			 2 	 1 	 1 	 1 
	Aio		 1 	 1 	 1 		
	AiO		 1 	 2 	 2 		
	AIo		 1 	 2 	 1 	 1 	 1 
	AIO		 1 	 3 	 2 	 1 	 1 
aia	aia	 1 					
	aiA			 1 	 1 		
	aIa			 1 		 1 	 1 
	aIA			 2 	 1 	 1 	 1 
	Aia		 1 	 1 	 1 		
	AiA		 1 	 2 	 2 		
	AIa		 1 	 2 	 1 	 1 	 1 
	AIA		 1 	 3 	 2 	 1 	 1 
aiu	aiu	 1 					
	aiy			 1 	 1 		
	aIu			 1 		 1 	 1 
	aIy			 2 	 1 	 1 	 1 
	Aiu		 1 	 1 	 1 		
	Aiy		 1 	 2 	 2 		
	AIu		 1 	 2 	 1 	 1 	 1 
	AIy		 1 	 3 	 2 	 1 	 1 
aoe	aoe	 1 					
	aoE			 1 			 1 
	aOe			 1 	 1 		
	aOE			 2 	 1 		 1 
	Aoe		 1 	 1 	 1 		
	AoE		 1 	 2 	 1 		 1 
	AOe		 1 	 2 	 2 		
	AOE		 1 	 3 	 2 		 1 
aoi	aoi	 1 					
	aoI			 1 		 1 	 1 
	aOi			 1 	 1 		
	aOI			 2 	 1 	 1 	 1 
	Aoi		 1 	 1 	 1 		
	AoI		 1 	 2 	 1 	 1 	 1 
	AOi		 1 	 2 	 2 		
	AOI		 1 	 3 	 2 	 1 	 1 
aoo	aoo	 1 					
	aoO			 1 	 1 		
	aOO			 2 	 2 		
	Aoo		 1 	 1 	 1 		
	AoO		 1 	 2 	 2 		
	AOO		 1 	 3 	 3 		
aoa	aoa	 1 					
	aoA			 1 	 1 		
	aOA			 2 	 2 		
	Aoa		 1 	 1 	 1 		
	AoA		 1 	 2 	 2 		
	AOA		 1 	 3 	 3 		
aou	aou	 1 					
	aoy			 1 	 1 		
	aOy			 2 	 2 		
	Aou		 1 	 1 	 1 		
	Aoy		 1 	 2 	 2 		
	AOy		 1 	 3 	 3 		
aae	aae	 1 					
	aaE			 1 			 1 
	aAe			 1 	 1 		
	aAE			 2 	 1 		 1 
	Aae		 1 	 1 	 1 		
	AaE		 1 	 2 	 1 		 1 
	AAe		 1 	 2 	 2 		
	AAE		 1 	 3 	 2 		 1 
aai	aai	 1 					
	aaI			 1 		 1 	 1 
	aAi			 1 	 1 		
	aAI			 2 	 1 	 1 	 1 
	Aai		 1 	 1 	 1 		
	AaI		 1 	 2 	 1 	 1 	 1 
	AAi		 1 	 2 	 2 		
	AAI		 1 	 3 	 2 	 1 	 1 
aao	aao	 1 					
	aaO			 1 	 1 		
	aAO			 2 	 2 		
	Aao		 1 	 1 	 1 		
	AaO		 1 	 2 	 2 		
	AAO		 1 	 3 	 3 		
aaa	aaa	 1 					
	aaA			 1 	 1 		
	aAA			 2 	 2 		
	Aaa		 1 	 1 	 1 		
	AaA		 1 	 2 	 2 		
	AAA		 1 	 3 	 3 		
aau	aau	 1 					
	aay			 1 	 1 		
	aAy			 2 	 2 		
	Aau		 1 	 1 	 1 		
	Aay		 1 	 2 	 2 		
	AAy		 1 	 3 	 3 		
aue	aue	 1 					
	auE			 1 			 1 
	aye			 1 	 1 		
	ayE			 2 	 1 		 1 
	Aue		 1 	 1 	 1 		
	AuE		 1 	 2 	 1 		 1 
	Aye		 1 	 2 	 2 		
	AyE		 1 	 3 	 2 		 1 
aui	aui	 1 					
	auI			 1 		 1 	 1 
	ayi			 1 	 1 		
	ayI			 2 	 1 	 1 	 1 
	Aui		 1 	 1 	 1 		
	AuI		 1 	 2 	 1 	 1 	 1 
	Ayi		 1 	 2 	 2 		
	AyI		 1 	 3 	 2 	 1 	 1 
auo	auo	 1 					
	auO			 1 	 1 		
	ayO			 2 	 2 		
	Auo		 1 	 1 	 1 		
	AuO		 1 	 2 	 2 		
	AyO		 1 	 3 	 3 		
aua	aua	 1 					
	auA			 1 	 1 		
	ayA			 2 	 2 		
	Aua		 1 	 1 	 1 		
	AuA		 1 	 2 	 2 		
	AyA		 1 	 3 	 3 		
auu	auu	 1 					
	auy			 1 	 1 		
	ayy			 2 	 2 		
	Auu		 1 	 1 	 1 		
	Auy		 1 	 2 	 2 		
	Ayy		 1 	 3 	 3 		
uee	uee	 1 					
	ueE			 1 			 1 
	uEE			 2 			 2 
	yee		 1 	 1 	 1 		
	yeE		 1 	 2 	 1 		 1 
	yEE		 1 	 3 	 1 		 2 
uei	uei	 1 					
	ueI			 1 		 1 	 1 
	uEi			 1 			 1 
	uEI			 2 		 1 	 2 
	yei		 1 	 1 	 1 		
	yeI		 1 	 2 	 1 	 1 	 1 
	yEi		 1 	 2 	 1 		 1 
	yEI		 1 	 3 	 1 	 1 	 2 
ueo	ueo	 1 					
	ueO			 1 	 1 		
	uEo			 1 			 1 
	uEO			 2 	 1 		 1 
	yeo		 1 	 1 	 1 		
	yeO		 1 	 2 	 2 		
	yEo		 1 	 2 	 1 		 1 
